_time,_left_pos,_right_pos,_left_vel,_right_vel
31.0,9.0,7.0,712.0,509.0
51.0,32.0,28.0,1289.0,1090.0
71.0,63.0,57.0,1586.0,1586.0
91.0,100.0,90.0,1829.0,1728.0
111.0,140.0,126.0,1992.0,1782.0
131.0,182.0,165.0,2096.0,1992.0
151.0,228.0,206.0,2211.0,2019.0
171.0,272.0,247.0,2279.0,2081.0
191.0,318.0,288.0,2278.0,2080.0
211.0,365.0,331.0,2305.0,2113.0
231.0,411.0,374.0,2277.0,2178.0
251.0,458.0,417.0,2376.0,2178.0
271.0,506.0,460.0,2431.0,2229.0
291.0,554.0,504.0,2375.0,2178.0
311.0,601.0,546.0,2375.0,2078.0
331.0,649.0,590.0,2429.0,2125.0
351.0,697.0,634.0,2374.0,2176.0
371.0,744.0,676.0,2405.0,2196.0
391.0,792.0,719.0,2426.0,2123.0
411.0,840.0,763.0,2404.0,2195.0
431.0,888.0,806.0,2372.0,2174.0
451.0,936.0,850.0,2424.0,2222.0
471.0,985.0,894.0,2372.0,2174.0
491.0,1032.0,936.0,2403.0,2194.0
511.0,1081.0,981.0,2485.0,2198.0
531.0,1128.0,1023.0,2469.0,2172.0
551.0,1176.0,1067.0,2370.0,2172.0
571.0,1224.0,1110.0,2418.0,2116.0
591.0,1271.0,1153.0,2369.0,2171.0
611.0,1318.0,1196.0,2296.0,2191.0
631.0,1366.0,1240.0,2316.0,2215.0
651.0,1414.0,1283.0,2400.0,2191.0
671.0,1462.0,1326.0,2456.0,2063.0
691.0,1510.0,1370.0,2414.0,2112.0
711.0,1557.0,1414.0,2366.0,2169.0
731.0,1604.0,1456.0,2366.0,2169.0
751.0,1652.0,1500.0,2411.0,2210.0
771.0,1699.0,1542.0,2464.0,2069.0
791.0,1746.0,1586.0,2364.0,2168.0
811.0,1794.0,1629.0,2408.0,2107.0
831.0,1841.0,1672.0,2396.0,2187.0
851.0,1889.0,1716.0,2363.0,2167.0
871.0,1936.0,1758.0,2406.0,2105.0
891.0,1984.0,1802.0,2362.0,2067.0
911.0,2031.0,1846.0,2362.0,2165.0
931.0,2078.0,1888.0,2403.0,2103.0
951.0,2126.0,1933.0,2362.0,2263.0
971.0,2173.0,1975.0,2361.0,2164.0
991.0,2220.0,2019.0,2301.0,2201.0
1011.0,2267.0,2062.0,2391.0,2183.0
1031.0,2315.0,2105.0,2360.0,2163.0
1051.0,2361.0,2148.0,2298.0,2198.0
1071.0,2408.0,2191.0,2286.0,2182.0
1091.0,2456.0,2235.0,2358.0,2162.0
1111.0,2504.0,2278.0,2396.0,2096.0
1131.0,2550.0,2321.0,2358.0,2162.0
1151.0,2597.0,2364.0,2388.0,2180.0
1171.0,2645.0,2408.0,2294.0,2194.0
